Book title,Genre,Book's volume sale
Kindaichi Shounen no Jikenbo,Mystery,
Slam Dunk,Sports,
H2,Sports,
Dragon Ball,Adventure / Action / Comedy / Sci-fi,
Ike! Inachuu Takkyuu-bu,Comedy,
Rurouni Kenshin,Action / Historical / Drama / Comedy,
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Comedy,
Fushigi Yuugi,Fantasy / Romance,
Hayate Densetsu Tokkou no Taku,Action,
Oishinbo,Comedy,
Hajime no Ippo,Sports,
Boy,Adult,
Crayon Shin-chan,Comedy,
Rokudenashi Blues,Action /School Life,
Dragon Quest: Dai no Daibouken,Fantasy,
Shoot!,Sports,
GS Mikami: Gokuraku Daisakusen!!,Action / Comedy / Supernatural,
Ranma 1/2,Action / Comedy / Romance,
Hana yori Dango,Romance,
Jigoku-sensei Nube,Comedy / Horror,
Ninku,Martial arts,
Chinmoku no Kantai,Drama,
JoJo no Kimyou na Bouken,Fantasy / Action / Adventure,
Mahoujin Guru Guru,Comedy,
Captain Tsubasa: World Youth Tokubetsu-hen,Sports,
Kyou kara Ore wa,Comedy,
Meitantei Conan,Mystery,
Emblem Take 2,Action / Drama,
Tokyo Daigaku Monogatari,Shcool / Drama,
Ushio to Tora,Action / Horror,
Shonan Junai Gumi,Action / Comedy,
Dear Boys,Sports / Romance,
Aka-chan to Boku,Comedy / Drama,
Boys Be...,Romance,
Dokaben: Pro Yakyuu-hen,Sports,
Basara,Action / History,
Bonbonzaka Koukou Engekibu,Comedy,
Tottemo! Lucky Man,Action / Comedy,
J Dream,Sports,
Bad Boys,Action / Comedy,
