Book title,Genre,Book's volume sale
Slam Dunk,Sports,
Kindaichi Shounen no Jikenbo,Mystery,
Meitantei Conan,Mystery,
Ike! Inachuu Takyuu-bu, Comedy,
Rurouni Kenshin,Action / History,
Dokaben: Pro Yakyuu-hen, Sports,
H2,Sports,
Oishinbo,Comedy,
Hajime no Ippo,Sports,
Ushio to Tora,Action / Horror,
Hayate Densetsu Tokkou no Taku,Action,
Kyou kara Ore wa,Comedy,
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Comedy,
Shoot!,Sports,
3x3 EYES,Adventure / Fantasy,
BOY,Adult,
Shura no Mon,Martial arts,
Initial D,Sports,
Dear Boys,Sports / Romance,
Jaja Uma Grooming Up,Comedy / Horror,
