Book title,Genre,Book's volume sale,Etc.
One Piece,Adventure-Fantasy,"11,885,957",
Shingeki no Kyojin,Dark Fantasy-Adventure,"11,728,368",
Haikyu!!, Sports-Shcool,"8,283,709",
Tokyo Ghoul,Drama-Supernatural,"6,946,203",
Kuroko no Basuke,Sports-Shonen,"6,729,439",
Naruto,Action-Supernatural,"5,505,179",
Ace of Diamond,Sports-Shcool,"4,681,031",
Magi,Fantasy-Supernatural,"4,657,971",
The Seven Deadly Sins,Adventure-Fantasy,"4,633,24",
Ansatsu Kyoushitsu ,Shcool-Shonen,"4,622,108",
Hozuki no Reitetsu, Comedy-Supernatural,"4,385,701",
Terraformars,Scifi-Adventure,"4,295,257",
Blue Spring Ride,Romance,"4,166,875",
Yowamushi Pedal,Sports-Shonen,"4,098,510",
Silver Spoon,Comedy-Slice of Life,"3,957,991",
